         16709981 function calls (15665525 primitive calls) in 593.557 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.012    0.012  593.560  593.560 main.py:16(main)
        1    0.705    0.705  592.417  592.417 /root/project/Soter/program_tuner.py:323(run)
      100    0.011    0.000  446.544    4.465 /root/project/Soter/cost_model.py:574(run)
      553    0.009    0.000  409.303    0.740 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:270(wait)
     4506  409.212    0.091  409.212    0.091 {method 'acquire' of '_thread.lock' objects}
     3300    0.005    0.000  409.208    0.124 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:478(_chain_from_iterable_of_lists)
     3300    0.008    0.000  409.202    0.124 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/_base.py:612(result_iterator)
     3200    0.007    0.000  409.193    0.128 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/_base.py:416(result)
      100    8.169    0.082  106.451    1.065 /root/project/Soter/program_tuner.py:375(exploration)
345600/4800    0.368    0.000   51.229    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:1549(_wrapped_call_impl)
345600/4800    0.892    0.000   51.218    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:1555(_call_impl)
     4800   25.253    0.005   51.031    0.011 /root/project/Soter/program_tuner.py:56(forward)
     4800    0.210    0.000   46.498    0.010 /root/project/Soter/program_tuner.py:496(analysis)
    16800    0.342    0.000   42.844    0.003 /root/project/Soter/analytical_model.py:24(get_remain_buffer_size)
    16800   31.419    0.002   42.502    0.003 /root/project/Soter/analytical_model.py:33(get_remain_buffer_size_for_simba)
      100    0.001    0.000   37.078    0.371 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:650(map)
      100    0.001    0.000   37.077    0.371 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/_base.py:583(map)
      100    0.008    0.000   37.076    0.371 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/_base.py:608(<listcomp>)
     3200    0.201    0.000   36.964    0.012 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:611(submit)
     3200    0.009    0.000   36.348    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:573(_start_queue_management_thread)
      100    0.168    0.002   36.090    0.361 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:600(_adjust_process_count)
     3200    0.290    0.000   35.475    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/process.py:110(start)
     3200    0.122    0.000   34.815    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/context.py:274(_Popen)
     3200    0.043    0.000   34.664    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/popen_fork.py:15(__init__)
     3200    0.158    0.000   34.555    0.011 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/popen_fork.py:66(_launch)
     3200   32.750    0.010   32.808    0.010 {built-in method posix.fork}
      100    0.051    0.001   22.387    0.224 /root/project/Soter/program_tuner.py:547(optimization)
      100    0.003    0.000   21.472    0.215 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_tensor.py:465(backward)
      100    0.004    0.000   21.469    0.215 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/__init__.py:183(backward)
      100    0.003    0.000   21.457    0.215 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/graph.py:764(_engine_run_backward)
      100   21.453    0.215   21.453    0.215 {method 'run_backward' of 'torch._C._EngineBase' objects}
     4800    0.400    0.000   16.652    0.003 /root/project/Soter/transformer/Models.py:180(forward)
     4800    0.378    0.000   15.536    0.003 /root/project/Soter/transformer/Models.py:83(forward)
        5    0.001    0.000   15.384    3.077 /root/project/Soter/program_tuner.py:590(create_timeloop_report)
       10    0.001    0.000   15.359    1.536 /root/project/Soter/cost_model.py:550(thread_fun)
       10    0.000    0.000   14.892    1.489 /root/anaconda3/envs/accelergy/lib/python3.8/subprocess.py:984(communicate)
       10    0.001    0.000   14.892    1.489 /root/anaconda3/envs/accelergy/lib/python3.8/subprocess.py:1831(_communicate)
       40    0.001    0.000   14.889    0.372 /root/anaconda3/envs/accelergy/lib/python3.8/selectors.py:402(select)
       40   14.888    0.372   14.888    0.372 {method 'poll' of 'select.poll' objects}
    19200    0.081    0.000   13.706    0.001 /root/project/Soter/transformer/Layers.py:16(forward)
    19200    0.816    0.000    9.482    0.000 /root/project/Soter/transformer/SubLayers.py:30(forward)
409193/98073    0.632    0.000    6.604    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/copy.py:128(deepcopy)
    77600    1.115    0.000    5.937    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_tensor.py:83(__deepcopy__)
   129600    0.221    0.000    4.711    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/linear.py:116(forward)
   129600    4.396    0.000    4.396    0.000 {built-in method torch._C._nn.linear}
    19200    0.554    0.000    3.895    0.000 /root/project/Soter/transformer/SubLayers.py:72(forward)
    19200    0.642    0.000    3.825    0.000 /root/project/Soter/transformer/Modules.py:16(forward)
    77600    0.087    0.000    2.478    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:907(_deepcopy)
    12800    0.186    0.000    2.399    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/categorical.py:136(log_prob)
    12800    0.262    0.000    2.238    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/categorical.py:52(__init__)
    54600    2.174    0.000    2.174    0.000 {built-in method torch.stack}
     4800    0.646    0.000    2.161    0.000 /root/project/Soter/analytical_model.py:632(get_remain_buf_spmap)
    38400    2.107    0.000    2.107    0.000 {built-in method torch.matmul}
   111200    2.105    0.000    2.105    0.000 {built-in method torch.pow}
    12800    0.126    0.000    2.011    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/categorical.py:129(sample)
    12800    0.339    0.000    1.771    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/distribution.py:40(__init__)
    43200    0.101    0.000    1.768    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/normalization.py:201(forward)
    77600    0.110    0.000    1.752    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:140(__deepcopy__)
    12800    1.694    0.000    1.694    0.000 {built-in method torch.multinomial}
    43200    0.118    0.000    1.634    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/functional.py:2561(layer_norm)
    77600    0.365    0.000    1.626    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:156(clone)
     3200    1.488    0.000    1.496    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/util.py:186(__init__)
